Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,AWS cloud,AWS Architecture 2017,1,,,,,,,AWS cloud
3,AWS General Users,AWS Architecture 2019,1,,,,,,,
4,virtual private cloud,AWS Architecture 2017,1,2,,,,,,virtual private cloud
5,VPC Internet gateway,AWS Architecture 2017,1,2,,,,,,Internet gateway
6,Availability Zone,AWS Architecture 2017,1,2|4,,,,,,Availability Zone 1
7,VPC subnet,AWS Architecture 2017,1,2|4|6,,,,,,Private Subnet
8,VPC subnet,AWS Architecture 2017,1,2|4|6,,,,,,Public Subnet
9,S3 bucket with objects,AWS Architecture 2017,1,2,,,,,,bucket with objects
10,EC2 instance,AWS Architecture 2017,1,2|4|6|7|22,,,,,,Web Server
11,EC2 instance,AWS Architecture 2017,1,2|4|6|7|22,,,,,,Web Server
12,EC2 instance,AWS Architecture 2017,1,2|4|6|8,,,,,,NAT Gateway
13,Elastic IP Address,AWS Architecture 2019,1,2|4|6|8,,,,,,Elastic IP Address
14,Elastic Load Balancing Application Load Balancer,AWS Architecture 2017,1,2|4,,,,,,Application Load Balancer
15,Availability Zone,AWS Architecture 2017,1,2|4,,,,,,Availability Zone 2
16,VPC subnet,AWS Architecture 2017,1,2|4|15,,,,,,Private Subnet
17,VPC subnet,AWS Architecture 2017,1,2|4|15,,,,,,Public Subnet
18,EC2 instance,AWS Architecture 2017,1,2|4|15|16|22,,,,,,Web Server
19,EC2 instance,AWS Architecture 2017,1,2|4|15|16|22,,,,,,Web Server
20,EC2 instance,AWS Architecture 2017,1,2|4|15|17,,,,,,NAT Gateway
21,Elastic IP Address,AWS Architecture 2019,1,2|4|15|17,,,,,,Elastic IP Address
22,Auto Scaling group,AWS Architecture 2017,1,2|4,,,,,,Auto Scaling group
23,Line,,1,,,5,14,None,Arrow,
24,Line,,1,,,14,13,None,None,
25,Line,,1,,,14,21,None,None,
26,Line,,1,,,13,12,None,None,
27,Line,,1,,,21,20,None,None,
28,Line,,1,,,3,5,None,Arrow,
29,Line,,1,,,20,18,None,None,
30,Line,,1,,,20,19,None,None,
31,Line,,1,,,12,10,None,None,
32,Line,,1,,,12,11,None,None,
33,Line,,1,,,10,9,None,None,
34,Line,,1,,,11,33,None,None,
35,Line,,1,,,18,6,None,None,
36,Line,,1,,,19,35,None,None,
